Ashok Nagar,13.039167,80.214722
Atangulam,8.866667,77.5
Atgulipura,11.833333,77
Athimanjeripet,13.25,79.433333
Atirampattinam,10.35,79.4
Attani,11.533333,77.533333
Attappadi,11.083333,76.583333
Attayampatti,11.533333,78.066667
Attayyampatti,11.533333,78.066667
Attibele,12.766667,77.783333
Attimanjeri,13.25,79.433333
Attingal,8.683333,76.833333
Attippadi,12.05,78.783333
Attippattu,13.09,80.153611
Attirampattinam,10.35,79.4
Attungal,8.683333,76.833333
Attur,11.6,78.616667
Atur-Salem,11.6,78.616667
Aulapolai,9.494167,76.3275
Aumaraubaudi,10.016667,78.783333
Avadaiyarkovil,10.083333,79.066667
Avadi,13.115556,80.101667
Avadiyarkoil,10.083333,79.066667
Avalakonda,13.2,79.266667
Avaleonda,13.2,79.266667
Avalhalli,13.033333,77.75
Avalurpet,12.333333,79.25
Avanashi,11.2,77.283333
Avanashipalaiyam,10.966667,77.433333
Avati,13.318056,77.721389
Ayakkudi,10.45,77.55
Ayakudi,10.45,77.55
Ayalcheri,13.2225,80.102222
Ayanavaram,13.096111,80.235
Ayattur,13.14,79.990833
Ayirala,13.383333,78.983333
Aymangala,14.083333,76.533333
Ayur,8.883333,76.883333
Ayyampalaiyam,10.233333,77.733333
Ayyampettai,10.9,79.183333
Ayyanapuram,8.85,78.15
Ayyanthopu,9.266667,79.233333
Azhagiapandipuram,8.3,77.45
Azhagiri Nagar,13.058056,80.257778
Azhakiapandipuram,8.3,77.45
Badavanahalli,13.681111,77.065833
Bagadi,13.15,76.216667
Bagalur,12.833333,77.866667
Bagepalli,13.784722,77.793056
Bageshapura,13.156111,76.218889
Bagur,13,76.366667
Baguru,13,76.366667
Bahour,11.8,79.766667
Bahur,11.8,79.766667
Bailur,11.816667,77.266667
Bairapur,13.216667,77.516667
Baireddipalle,13.083333,78.616667
Baireddirpalle,13.083333,78.616667
Baiyyappanahalli,13.066667,77.716667
Balaji Nagar,13.122778,80.226389
Balaramapuram,8.433333,77.05
Balarampuram,8.433333,77.05
Ballavi,13.418333,77.026944
Ballurpettai,12.2,78.066667
Banasandara,13.261111,76.655833
Banasandra,13.261111,76.655833
Banavar,13.413611,76.168333
Banavara,13.413611,76.168333
Banavedutottam,13.063333,80.088333
Bandahalli,12.166667,77.35
Bandalli,12.166667,77.35
Bandarlapalli,13.85,78
Bandipur,11.666667,76.633333
Bangalore,12.983333,77.583333
Bangalore City,12.983333,77.583333
Bangarampettaichori,13.2,80.086389
Bangarapet,12.966667,78.2
Bangarpett,13.966667,79.6
Bangarupet,13.966667,79.6
Bangarupeta,13.966667,79.6
Bannigere,12.75,77.433333
Bannigeri,12.75,77.433333
Bannur,12.330833,76.863056
Barathidasan Nagar,13.043889,80.275
Bargur,13.942778,76.989167
Bargur,12.55,78.366667
Barguru,12.55,78.366667
Basaralu,12.706389,76.817222
Basavapatna,12.613611,76.125278
Basavapatna Hassan,12.613611,76.125278
Basin Bridge,13.104444,80.273333
Basuvanpuram,11.666667,77.283333
Batrahalli,12.366667,78.416667
Bayappanhalli,13.066667,77.716667
Begur,11.916667,76.3
Bekkattur,11.983333,77.266667
Belagula,12.384722,76.590278
Belagur,13.633333,76.283333
Beldara,13.454722,77.168611
Bellara,13.616667,76.666667
Bellavi,13.418333,77.026944
